Ensemblgeneid,Genename,UniProt,annotcategory
ENSG00000100350,FOXRED2,Q8IWF2,Intracellular or membrane-bound
ENSG00000100399,CHADL,Q6NUI6,Locally secreted to extracellular matrix
ENSG00000100448,CTSG,P08311,Intracellular or membrane-bound
ENSG00000100450,GZMH,P20718,Secreted to blood
ENSG00000100453,GZMB,P10144,Secreted to blood
ENSG00000100473,COCH,O43405,Locally secreted to extracellular matrix
ENSG00000100593,ISM2,Q6H9L7,Locally secreted in female tissues
ENSG00000100600,LGMN,Q99538,Intracellular or membrane-bound
ENSG00000100601,ALKBH1,Q13686,Intracellular or membrane-bound
ENSG00000100604,CHGA,P10645,Intracellular or membrane-bound
ENSG00000100665,SERPINA4,P29622,Secreted to blood
ENSG00000100767,PAPLN,O95428,Secreted - unknown location
ENSG00000100802,C14orf93,Q9H972,Secreted - unknown location
ENSG00000100979,PLTP,P55058,Secreted to blood
ENSG00000101017,CD40,P25942,Secreted to blood
ENSG00000101074,R3HDML,Q9H3Y0,Secreted - unknown location
ENSG00000101144,BMP7,P18075,Secreted to blood
ENSG00000101160,CTSZ,Q9UBR2,Intracellular or membrane-bound
ENSG00000101200,AVP,P01185,Secreted to blood
ENSG00000101203,COL20A1,Q9P218,Locally secreted to extracellular matrix
ENSG00000101230,ISM1,B1AKI9,Locally secreted
ENSG00000101280,ANGPT4,Q9Y264,Secreted to blood
ENSG00000101282,RSPO4,Q2I0M5,Locally secreted
ENSG00000101327,PDYN,P01213,Locally secreted in brain
ENSG00000101346,POFUT1,Q9H488,Intracellular or membrane-bound
ENSG00000101405,OXT,P01178,Secreted to blood
ENSG00000101425,BPI,P17213,Secreted to blood
ENSG00000101435,CST9L,Q9H4G1,Locally secreted in male tissues
ENSG00000101439,CST3,P01034,Secreted to blood
ENSG00000101440,ASIP,P42127,Secreted to blood
ENSG00000101441,CST4,P01036,Locally secreted to GI-tract
ENSG00000101443,WFDC2,Q14508,Locally secreted
ENSG00000101446,SPINT3,P49223,Locally secreted in male tissues
ENSG00000101448,EPPIN,O95925,Locally secreted in male tissues
ENSG00000101670,LIPG,Q9Y5X9,Secreted to blood
ENSG00000101680,LAMA1,P25391,Locally secreted to extracellular matrix
ENSG00000101825,MXRA5,Q9NR99,Secreted - unknown location
ENSG00000101938,CHRDL1,Q9BU40,Locally secreted
ENSG00000101955,SRPX,P78539,Secreted - unknown location
ENSG00000102078,SLC25A14,O95258,Intracellular or membrane-bound
ENSG00000102104,RS1,O15537,Locally secreted
ENSG00000102109,PCSK1N,Q9UHG2,Secreted to blood
ENSG00000102158,MAGT1,Q9H0U3,Intracellular or membrane-bound
ENSG00000102226,USP11,P51784,Intracellular or membrane-bound
ENSG00000102245,CD40LG,P29965,Secreted to blood
ENSG00000102265,TIMP1,P01033,Secreted to blood
ENSG00000102313,ITIH6,Q6UXX5,Secreted to blood
ENSG00000102359,SRPX2,O60687,Secreted to blood
ENSG00000102393,GLA,P06280,Intracellular or membrane-bound
ENSG00000102575,ACP5,P13686,Intracellular or membrane-bound
ENSG00000102580,DNAJC3,Q13217,Intracellular or membrane-bound
ENSG00000102595,UGGT2,Q9NYU1,Intracellular or membrane-bound
ENSG00000102678,FGF9,P31371,Locally secreted
ENSG00000102760,RGCC,Q9H4X1,Intracellular or membrane-bound
ENSG00000102805,CLN5,O75503,Intracellular or membrane-bound
ENSG00000102837,OLFM4,Q6UX06,Locally secreted
ENSG00000102854,MSLN,Q13421,Intracellular or membrane-bound
ENSG00000102924,CBLN1,P23435,Locally secreted in brain
ENSG00000102962,CCL22,O00626,Secreted to blood
ENSG00000102970,CCL17,Q92583,Secreted to blood
ENSG00000103023,PRSS54,Q6PEW0,Locally secreted in male tissues
ENSG00000103024,NME3,Q13232,Intracellular or membrane-bound
ENSG00000103066,PLA2G15,Q8NCC3,Intracellular or membrane-bound
ENSG00000103175,WFDC1,Q9HC57,Locally secreted to extracellular matrix
ENSG00000103196,CRISPLD2,Q9H0B8,Secreted to blood
ENSG00000103260,METRN,Q9UJH8,Locally secreted in brain
ENSG00000103310,ZP2,Q05996,Locally secreted in female tissues
ENSG00000103355,PRSS33,Q8NF86,Secreted to blood
ENSG00000103365,GGA2,Q9UJY4,Intracellular or membrane-bound
ENSG00000103489,XYLT1,Q86Y38,Secreted to blood
ENSG00000103495,MAZ,P56270,Intracellular or membrane-bound
ENSG00000103642,LACTB,P83111,Intracellular or membrane-bound
ENSG00000103811,CTSH,P09668,Intracellular or membrane-bound
ENSG00000103888,CEMIP,Q8WUJ3,Locally secreted
ENSG00000103978,TMEM87A,Q8NBN3,Intracellular or membrane-bound
ENSG00000104112,SCG3,Q8WXD2,Locally secreted in brain
ENSG00000104213,PDGFRL,Q15198,Secreted - unknown location
ENSG00000104324,CPQ,Q9Y646,Secreted to blood
ENSG00000104332,SFRP1,Q8N474,Locally secreted
ENSG00000104371,DKK4,Q9UBT3,Locally secreted
ENSG00000104413,ESRP1,Q6NXG1,Intracellular or membrane-bound
ENSG00000104415,WISP1,O95388,Locally secreted to extracellular matrix
ENSG00000104432,IL7,P13232,Secreted to blood
ENSG00000104499,GML,Q99445,Intracellular or membrane-bound
ENSG00000104518,GSDMD,P57764,Intracellular or membrane-bound
ENSG00000104691,UBXN8,O00124,Intracellular or membrane-bound
ENSG00000104760,FGL1,Q08830,Secreted to blood
ENSG00000104763,ASAH1,Q13510,Intracellular or membrane-bound
ENSG00000104774,MAN2B1,O00754,Intracellular or membrane-bound
ENSG00000104804,TULP2,O00295,Locally secreted in male tissues
ENSG00000104805,NUCB1,Q02818,Secreted to blood
ENSG00000104818,CGB2,NA,Locally secreted
ENSG00000104826,LHB,P01229,Secreted to blood
ENSG00000104827,CGB3,P0DN86,Secreted to blood
ENSG00000104899,AMH,P03971,Secreted to blood
ENSG00000104901,DKKL1,Q9UK85,Locally secreted in male tissues
ENSG00000104918,RETN,Q9HD89,Secreted to blood
ENSG00000104921,FCER2,P06734,Secreted to blood
ENSG00000104938,CLEC4M,Q9H2X3,Intracellular or membrane-bound
ENSG00000104951,IL4I1,Q96RQ9,Secreted to blood
ENSG00000104970,KIR3DX1,NA,Secreted - unknown location
ENSG00000104972,LILRB1,NA,Intracellular or membrane-bound
ENSG00000105088,OLFM2,O95897,Locally secreted
ENSG00000105131,EPHX3,Q9H6B9,Intracellular or membrane-bound
ENSG00000105220,GPI,P06744,Secreted to blood
ENSG00000105246,EBI3,Q14213,Secreted to blood
ENSG00000105329,TGFB1,P01137,Secreted to blood
ENSG00000105371,ICAM4,Q14773,Intracellular or membrane-bound
ENSG00000105388,CEACAM5,P06731,Intracellular or membrane-bound
ENSG00000105426,PTPRS,Q13332,Secreted - unknown location
ENSG00000105472,CLEC11A,Q9Y240,Locally secreted
ENSG00000105492,SIGLEC6,O43699,Intracellular or membrane-bound
ENSG00000105550,FGF21,Q9NSA1,Secreted to blood
ENSG00000105612,DNASE2,O00115,Intracellular or membrane-bound
ENSG00000105664,COMP,P49747,Locally secreted to extracellular matrix
ENSG00000105697,HAMP,P81172,Secreted to blood
ENSG00000105825,TFPI2,P48307,Locally secreted to extracellular matrix
ENSG00000105835,NAMPT,P43490,Secreted to blood
ENSG00000105852,PON3,Q15166,Secreted to blood
ENSG00000105854,PON2,Q15165,Secreted to blood
ENSG00000105894,PTN,P21246,Secreted to blood
ENSG00000105954,NPVF,Q9HCQ7,Locally secreted
ENSG00000105989,WNT2,P09544,Locally secreted to extracellular matrix
ENSG00000106003,LFNG,Q8NES3,Intracellular or membrane-bound
ENSG00000106066,CPVL,Q9H3G5,Intracellular or membrane-bound
ENSG00000106080,FKBP14,Q9NWM8,Intracellular or membrane-bound
ENSG00000106089,STX1A,Q16623,Intracellular or membrane-bound
ENSG00000106105,GARS,P41250,Intracellular or membrane-bound
ENSG00000106113,CRHR2,Q13324,Secreted - unknown location
ENSG00000106123,EPHB6,NA,Intracellular or membrane-bound
ENSG00000106178,CCL24,O00175,Secreted to blood
ENSG00000106236,NPTX2,P47972,Secreted to blood
ENSG00000106278,PTPRZ1,P23471,Locally secreted in brain
ENSG00000106331,PAX4,O43316,Intracellular or membrane-bound
ENSG00000106333,PCOLCE,Q15113,Locally secreted to extracellular matrix
ENSG00000106397,PLOD3,O60568,Secreted - unknown location
ENSG00000106483,SFRP4,Q6FHJ7,Locally secreted in female tissues
ENSG00000106484,MEST,Q5EB52,Intracellular or membrane-bound
ENSG00000106538,RARRES2,Q99969,Secreted to blood
ENSG00000106541,AGR2,O95994,Intracellular or membrane-bound
ENSG00000106591,MRPL32,Q9BYC8,Intracellular or membrane-bound
ENSG00000106624,AEBP1,Q8IUX7,Secreted - unknown location
ENSG00000106638,TBL2,Q9Y4P3,Locally secreted in male tissues
ENSG00000106714,CNTNAP3,Q9BZ76,Intracellular or membrane-bound
ENSG00000106799,TGFBR1,P36897,Intracellular or membrane-bound
ENSG00000106809,OGN,P20774,Locally secreted
ENSG00000106819,ASPN,Q9BXN1,Locally secreted to extracellular matrix
ENSG00000106823,ECM2,O94769,Locally secreted to extracellular matrix
ENSG00000106868,SUSD1,Q6UWL2,Intracellular or membrane-bound
ENSG00000106927,AMBP,P02760,Secreted to blood
ENSG00000107014,RLN2,P04090,Secreted to blood
ENSG00000107018,RLN1,P04808,Secreted to blood
ENSG00000107159,CA9,Q16790,Intracellular or membrane-bound
ENSG00000107249,GLIS3,Q8NEA6,Intracellular or membrane-bound
ENSG00000107317,PTGDS,P41222,Secreted to blood
ENSG00000107562,CXCL12,P48061,Secreted to blood
ENSG00000107566,ERLIN1,O75477,Intracellular or membrane-bound
ENSG00000107611,CUBN,O60494,Intracellular or membrane-bound
ENSG00000107742,SPOCK2,Q92563,Secreted to blood
ENSG00000107789,MINPP1,Q9UNW1,Intracellular or membrane-bound
ENSG00000107798,LIPA,P38571,Intracellular or membrane-bound
ENSG00000107821,KAZALD1,Q96I82,Locally secreted to extracellular matrix
ENSG00000107831,FGF8,P55075,Locally secreted
ENSG00000107984,DKK1,O94907,Locally secreted in female tissues
ENSG00000108064,TFAM,Q00059,Intracellular or membrane-bound
ENSG00000108231,LGI1,O95970,Locally secreted in brain
ENSG00000108242,CYP2C18,P33260,Intracellular or membrane-bound
ENSG00000108342,CSF3,P09919,Secreted to blood
ENSG00000108379,WNT3,P56703,Locally secreted to extracellular matrix
ENSG00000108474,PIGL,Q9Y2B2,Intracellular or membrane-bound
ENSG00000108561,C1QBP,Q07021,Intracellular or membrane-bound
ENSG00000108641,B9D1,Q9UPM9,Intracellular or membrane-bound
ENSG00000108679,LGALS3BP,Q08380,Secreted to blood
ENSG00000108688,CCL7,P80098,Secreted to blood
ENSG00000108700,CCL8,P80075,Secreted to blood
ENSG00000108702,CCL1,P22362,Secreted to blood
ENSG00000108784,NAGLU,P54802,Intracellular or membrane-bound
ENSG00000108823,SGCA,Q16586,Intracellular or membrane-bound
ENSG00000108826,MRPL27,Q9P0M9,Intracellular or membrane-bound
ENSG00000108849,PPY,P01298,Secreted to blood
ENSG00000108950,FAM20A,Q96MK3,Locally secreted
ENSG00000109072,VTN,P04004,Secreted to blood
ENSG00000109205,ODAM,A1E959,Intracellular or membrane-bound
ENSG00000109208,SMR3A,Q99954,Locally secreted to GI-tract
ENSG00000109255,NMU,P48645,Locally secreted
ENSG00000109272,PF4V1,P10720,Secreted to blood
ENSG00000109323,MANBA,O00462,Intracellular or membrane-bound
ENSG00000109471,IL2,P60568,Secreted to blood
ENSG00000109472,CPE,P16870,Intracellular or membrane-bound
ENSG00000109610,SOD3,P08294,Secreted to blood
ENSG00000109625,CPZ,Q66K79,Locally secreted to extracellular matrix
ENSG00000109743,BST1,Q10588,Intracellular or membrane-bound
ENSG00000109758,HGFAC,Q04756,Secreted to blood
ENSG00000109861,CTSC,P53634,Intracellular or membrane-bound
ENSG00000109927,TECTA,O75443,Locally secreted
ENSG00000109956,B3GAT1,Q9P2W7,Locally secreted in brain
ENSG00000110013,SIAE,Q9HAT2,Intracellular or membrane-bound
ENSG00000110046,ATG2A,Q2TAZ0,Intracellular or membrane-bound
ENSG00000110080,ST3GAL4,Q11206,Intracellular or membrane-bound
ENSG00000110169,HPX,P02790,Secreted to blood
ENSG00000110195,FOLR1,P15328,Secreted to blood
ENSG00000110203,FOLR3,P41439,Secreted to blood
ENSG00000110243,APOA5,Q6Q788,Secreted to blood
ENSG00000110244,APOA4,P06727,Secreted to blood
ENSG00000110245,APOC3,P02656,Secreted to blood
ENSG00000110400,NECTIN1,Q15223,Locally secreted
ENSG00000110484,SCGB2A2,Q13296,Locally secreted in female tissues
ENSG00000110492,MDK,P21741,Secreted to blood
ENSG00000110680,CALCA,"P01258,P06881",Secreted to blood
ENSG00000110717,NDUFS8,O00217,Intracellular or membrane-bound
ENSG00000110811,P3H3,Q8IVL6,Intracellular or membrane-bound
ENSG00000110852,CLEC2B,Q92478,Intracellular or membrane-bound
ENSG00000110887,DAO,P14920,Intracellular or membrane-bound
ENSG00000111186,WNT5B,Q9H1J7,Locally secreted to extracellular matrix
ENSG00000111215,PRR4,Q16378,Locally secreted to GI-tract
ENSG00000111241,FGF6,P10767,Locally secreted
ENSG00000111305,GSG1,Q2KHT4,Intracellular or membrane-bound
ENSG00000111339,ART4,Q93070,Secreted to blood
ENSG00000111341,MGP,P08493,Secreted to blood
ENSG00000111405,ENDOU,P21128,Locally secreted
ENSG00000111412,C12orf49,Q9H741,Secreted - unknown location
ENSG00000111536,IL26,Q9NPH9,Secreted to blood
ENSG00000111644,ACRBP,Q8NEB7,Intracellular or membrane-bound
ENSG00000111696,NT5DC3,Q86UY8,Secreted - unknown location
ENSG00000111707,SUDS3,Q9H7L9,Intracellular or membrane-bound
ENSG00000111799,COL12A1,Q99715,Locally secreted to extracellular matrix
ENSG00000111802,TDP2,O95551,Intracellular or membrane-bound
ENSG00000111817,DSE,Q9UL01,Intracellular or membrane-bound
ENSG00000112041,TULP1,O00294,Intracellular or membrane-bound
ENSG00000112116,IL17F,Q96PD4,Secreted to blood
ENSG00000112139,MDGA1,Q8NFP4,Intracellular or membrane-bound
ENSG00000112175,BMP5,P22003,Secreted - unknown location
ENSG00000112280,COL9A1,P20849,Locally secreted to extracellular matrix
ENSG00000112293,GPLD1,P80108,Secreted to blood
ENSG00000112299,VNN1,O95497,Intracellular or membrane-bound
ENSG00000112514,CUTA,O60888,Secreted to blood
ENSG00000112562,SMOC2,Q9H3U7,Locally secreted to extracellular matrix
ENSG00000112651,MRPL2,Q5T653,Intracellular or membrane-bound
ENSG00000112655,PTK7,Q13308,Secreted to blood
ENSG00000112706,IMPG1,Q17R60,Locally secreted
ENSG00000112761,WISP3,O95389,Locally secreted to extracellular matrix
ENSG00000112769,LAMA4,Q16363,Locally secreted to extracellular matrix
ENSG00000112796,ENPP5,Q9UJA9,Intracellular or membrane-bound
ENSG00000112799,LY86,O95711,Secreted to blood
ENSG00000112812,PRSS16,Q9NQE7,Locally secreted
ENSG00000112855,HARS2,P49590,Intracellular or membrane-bound
ENSG00000112936,C7,P10643,Secreted to blood
ENSG00000113070,HBEGF,Q99075,Secreted to blood
ENSG00000113083,LOX,P28300,Locally secreted to extracellular matrix
ENSG00000113088,GZMK,P49863,Secreted to blood
ENSG00000113140,SPARC,P09486,Secreted to blood
ENSG00000113273,ARSB,P15848,Intracellular or membrane-bound
ENSG00000113296,THBS4,P35443,Locally secreted to extracellular matrix
ENSG00000113318,MSH3,P20585,Intracellular or membrane-bound
ENSG00000113391,FAM172A,Q8WUF8,Secreted - unknown location
ENSG00000113441,LNPEP,Q9UIQ6,Intracellular or membrane-bound
ENSG00000113520,IL4,P05112,Secreted to blood
ENSG00000113532,ST8SIA4,Q92187,Intracellular or membrane-bound
ENSG00000113555,PCDH12,Q9NPG4,Secreted to blood
ENSG00000113569,NUP155,O75694,Intracellular or membrane-bound
ENSG00000113594,LIFR,P42702,Intracellular or membrane-bound
ENSG00000113600,C9,P02748,Secreted to blood
ENSG00000113739,STC2,O76061,Locally secreted
ENSG00000113805,CNTN3,Q9P232,Intracellular or membrane-bound
ENSG00000113889,KNG1,P01042,Secreted to blood
ENSG00000113905,HRG,P04196,Secreted to blood
ENSG00000114054,PCCB,P05166,Intracellular or membrane-bound
ENSG00000114204,SERPINI2,O75830,Locally secreted to GI-tract
ENSG00000114251,WNT5A,P41221,Locally secreted to extracellular matrix
ENSG00000114270,COL7A1,Q02388,Locally secreted to extracellular matrix
ENSG00000114378,HYAL1,Q12794,Secreted to blood
ENSG00000114948,ADAM23,O75077,Intracellular or membrane-bound
ENSG00000115008,IL1A,P01583,Secreted to blood
ENSG00000115009,CCL20,P78556,Secreted to blood
ENSG00000115041,KCNIP3,Q9Y2W7,Intracellular or membrane-bound
ENSG00000115138,POMC,P01189,Secreted to blood
ENSG00000115159,GPD2,P43304,Intracellular or membrane-bound
ENSG00000115226,FNDC4,Q9H6D8,Intracellular or membrane-bound
ENSG00000115263,GCG,P01275,Secreted to blood
ENSG00000115318,LOXL3,P58215,Locally secreted to extracellular matrix
ENSG00000115380,EFEMP1,Q12805,Locally secreted to extracellular matrix
ENSG00000115386,REG1A,P05451,Locally secreted to GI-tract
ENSG00000115419,GLS,O94925,Intracellular or membrane-bound
ENSG00000115457,IGFBP2,P18065,Secreted to blood
ENSG00000115461,IGFBP5,P24593,Secreted to blood
ENSG00000115523,GNLY,P22749,Secreted to blood
ENSG00000115526,CHST10,O43529,Intracellular or membrane-bound
ENSG00000115590,IL1R2,P27930,Secreted to blood
ENSG00000115596,WNT6,Q9Y6F9,Locally secreted to extracellular matrix
ENSG00000115602,IL1RL1,Q01638,Secreted to blood
ENSG00000115604,IL18R1,Q13478,Intracellular or membrane-bound
ENSG00000115652,UXS1,Q8NBZ7,Intracellular or membrane-bound
ENSG00000115828,QPCT,Q16769,Secreted to blood
ENSG00000115884,SDC1,P18827,Secreted to blood
ENSG00000116005,PCYOX1,Q9UHG3,Intracellular or membrane-bound
ENSG00000116147,TNR,Q92752,Locally secreted in brain
ENSG00000116157,GPX7,Q96SL4,Secreted to blood
ENSG00000116183,PAPPA2,Q9BXP8,Locally secreted in female tissues
ENSG00000116194,ANGPTL1,O95841,Secreted to blood
ENSG00000116260,QSOX1,O00391,Locally secreted to extracellular matrix
ENSG00000116406,EDEM3,Q9BZQ6,Intracellular or membrane-bound
ENSG00000116459,ATP5PB,P24539,Intracellular or membrane-bound
ENSG00000116690,PRG4,Q92954,Locally secreted to extracellular matrix
ENSG00000116748,AMPD1,P23109,Intracellular or membrane-bound
ENSG00000116774,OLFML3,Q9NRN5,Locally secreted to extracellular matrix
ENSG00000116785,CFHR3,Q02985,Secreted to blood
ENSG00000116863,ADPRHL2,Q9NX46,Intracellular or membrane-bound
ENSG00000116962,NID1,P14543,Locally secreted to extracellular matrix
ENSG00000116985,BMP8B,P34820,Secreted to blood
ENSG00000116996,ZP4,Q12836,Locally secreted in female tissues
ENSG00000117069,ST6GALNAC5,Q9BVH7,Intracellular or membrane-bound
ENSG00000117090,SLAMF1,Q13291,Secreted to blood
ENSG00000117091,CD48,P09326,Intracellular or membrane-bound
ENSG00000117118,SDHB,P21912,Intracellular or membrane-bound
ENSG00000117122,MFAP2,P55001,Locally secreted to extracellular matrix
ENSG00000117151,CTBS,Q01459,Intracellular or membrane-bound
ENSG00000117154,IGSF21,Q96ID5,Intracellular or membrane-bound
ENSG00000117215,PLA2G2D,Q9UNK4,Secreted - unknown location
ENSG00000117228,GBP1,P32455,Intracellular or membrane-bound
ENSG00000117281,CD160,O95971,Intracellular or membrane-bound
ENSG00000117305,HMGCL,P35914,Intracellular or membrane-bound
ENSG00000117385,P3H1,Q32P28,Intracellular or membrane-bound
ENSG00000117407,ARTN,Q5T4W7,Locally secreted
ENSG00000117560,FASLG,P48023,Secreted to blood
ENSG00000117691,NENF,Q9UMX5,Secreted - unknown location
ENSG00000117862,TXNDC12,O95881,Intracellular or membrane-bound
ENSG00000117899,MESD,Q14696,Intracellular or membrane-bound
ENSG00000117906,RCN2,Q14257,Intracellular or membrane-bound
ENSG00000117983,MUC5B,Q9HC84,Locally secreted
ENSG00000117984,CTSD,P07339,Secreted to blood
ENSG00000118004,COLEC11,Q9BWP8,Secreted to blood
ENSG00000118017,A4GNT,Q9UNA3,Intracellular or membrane-bound
ENSG00000118094,TREH,O43280,Intracellular or membrane-bound
ENSG00000118137,APOA1,P02647,Secreted to blood
ENSG00000118257,NRP2,O60462,Locally secreted
ENSG00000118271,TTR,P02766,Secreted to blood
ENSG00000118276,B4GALT6,Q9UBX8,Intracellular or membrane-bound
ENSG00000118292,C1orf54,Q8WWF1,Secreted to blood
ENSG00000118523,CTGF,P29279,Locally secreted
ENSG00000118702,GHRH,P01286,Locally secreted
ENSG00000118729,CASQ2,O14958,Intracellular or membrane-bound
ENSG00000118733,OLFM3,Q96PB7,Locally secreted in brain
ENSG00000118785,SPP1,P10451,Secreted to blood
ENSG00000118849,RARRES1,P49788,Intracellular or membrane-bound
ENSG00000118972,FGF23,Q9GZV9,Secreted to blood
ENSG00000119147,C2orf40,Q9H1Z8,Secreted to blood
ENSG00000119280,C1orf198,Q9H425,Intracellular or membrane-bound
ENSG00000119514,GALNT12,Q8IXK2,Intracellular or membrane-bound
ENSG00000119632,IFI27L2,Q9H2X8,Intracellular or membrane-bound
ENSG00000119655,NPC2,P61916,Secreted to blood
ENSG00000119681,LTBP2,Q14767,Locally secreted to extracellular matrix
ENSG00000119699,TGFB3,P10600,Secreted to blood
ENSG00000119913,TECTB,Q96PL2,Locally secreted
ENSG00000119977,TCTN3,Q6NUS6,Intracellular or membrane-bound
ENSG00000120054,CPN1,P15169,Secreted to blood
ENSG00000120055,C10orf95,NA,Secreted - unknown location
ENSG00000120057,SFRP5,Q5T4F7,Locally secreted
ENSG00000120160,EQTN,Q9NQ60,Intracellular or membrane-bound
ENSG00000120210,INSL6,Q9Y581,Secreted to blood
ENSG00000120211,INSL4,Q14641,Secreted to blood
ENSG00000120235,IFNA6,P05013,Secreted to blood
ENSG00000120242,IFNA8,P32881,Secreted to blood
ENSG00000120332,TNN,Q9UQP3,Locally secreted to extracellular matrix
ENSG00000120333,MRPS14,O60783,Intracellular or membrane-bound
ENSG00000120370,GORAB,Q5T7V8,Intracellular or membrane-bound
ENSG00000120509,PDZD11,Q5EBL8,Intracellular or membrane-bound
ENSG00000120563,LYZL1,Q6UWQ5,Locally secreted in male tissues
ENSG00000120658,ENOX1,Q8TC92,Intracellular or membrane-bound
ENSG00000120708,TGFBI,Q15582,Secreted to blood
ENSG00000120725,SIL1,Q9H173,Intracellular or membrane-bound
ENSG00000120733,KDM3B,Q7LBC6,Intracellular or membrane-bound
ENSG00000120885,CLU,P10909,Secreted to blood
ENSG00000120937,NPPB,P16860,Secreted to blood
ENSG00000121005,CRISPLD1,Q9H336,Secreted - unknown location
ENSG00000121064,SCPEP1,Q9HB40,Secreted to blood
ENSG00000121289,CEP89,Q96ST8,Intracellular or membrane-bound
ENSG00000121316,PLBD1,Q6P4A8,Intracellular or membrane-bound
ENSG00000121335,PRB2,P02812,Locally secreted to GI-tract
ENSG00000121351,IAPP,P10997,Secreted to blood
ENSG00000121410,A1BG,P04217,Secreted to blood
ENSG00000121578,B4GALT4,O60513,Intracellular or membrane-bound
ENSG00000121671,CRY2,Q49AN0,Intracellular or membrane-bound
ENSG00000121716,PILRB,Q9UKJ0,Intracellular or membrane-bound
ENSG00000121858,TNFSF10,P50591,Secreted to blood
ENSG00000121898,CPXM2,Q8N436,Secreted - unknown location
ENSG00000122121,XPNPEP2,O43895,Intracellular or membrane-bound
ENSG00000122133,PAEP,P09466,Locally secreted in female tissues
ENSG00000122136,OBP2A,Q9NY56,Locally secreted
ENSG00000122176,FMOD,Q06828,Locally secreted to extracellular matrix
ENSG00000122218,COPA,P53621,Secreted to blood
ENSG00000122378,FAM213A,Q9BRX8,Intracellular or membrane-bound
ENSG00000122566,HNRNPA2B1,P22626,Intracellular or membrane-bound
ENSG00000122584,NXPH1,P58417,Locally secreted in brain
ENSG00000122585,NPY,P01303,Secreted to blood
ENSG00000122641,INHBA,P08476,Secreted to blood
ENSG00000122642,FKBP9,O95302,Intracellular or membrane-bound
ENSG00000122643,NT5C3A,Q9H0P0,Intracellular or membrane-bound
ENSG00000122711,SPINK4,O60575,Locally secreted to GI-tract
ENSG00000122779,TRIM24,O15164,Intracellular or membrane-bound
ENSG00000122852,SFTPA1,Q8IWL2,Locally secreted
ENSG00000122862,SRGN,P10124,Intracellular or membrane-bound
ENSG00000122884,P4HA1,P13674,Intracellular or membrane-bound
ENSG00000123131,PRDX4,Q13162,Intracellular or membrane-bound
ENSG00000123146,ADGRE5,P48960,Secreted to blood
ENSG00000123171,CCDC70,Q6NSX1,Locally secreted in male tissues
ENSG00000123243,ITIH5,NA,Secreted to blood
ENSG00000123384,LRP1,Q07954,Intracellular or membrane-bound
ENSG00000123472,ATPAF1,Q5TC12,Intracellular or membrane-bound
ENSG00000123500,COL10A1,Q03692,Locally secreted to extracellular matrix
ENSG00000123561,SERPINA7,P05543,Secreted to blood
ENSG00000123570,RAB9B,Q9NP90,Intracellular or membrane-bound
ENSG00000123610,TNFAIP6,P98066,Secreted to blood
ENSG00000123612,ACVR1C,Q8NER5,Intracellular or membrane-bound
ENSG00000123739,PLA2G12A,Q9BZM1,Secreted to blood
ENSG00000123838,C4BPA,P04003,Secreted to blood
ENSG00000123843,C4BPB,P20851,Secreted to blood
ENSG00000123989,CHPF,Q8IZ52,Intracellular or membrane-bound
ENSG00000123999,INHA,P05111,Secreted to blood
ENSG00000124102,PI3,P19957,Secreted to blood
ENSG00000124107,SLPI,P03973,Secreted to blood
ENSG00000124116,WFDC3,Q8IUB2,Locally secreted in male tissues
ENSG00000124145,SDC4,P31431,Secreted to blood
ENSG00000124155,PIGT,Q969N2,Intracellular or membrane-bound
ENSG00000124157,SEMG2,Q02383,Locally secreted in male tissues
ENSG00000124159,MATN4,O95460,Locally secreted to extracellular matrix
ENSG00000124205,EDN3,P14138,Secreted to blood
ENSG00000124225,PMEPA1,Q969W9,Intracellular or membrane-bound
ENSG00000124233,SEMG1,P04279,Locally secreted in male tissues
ENSG00000124302,CHST8,Q9H2A9,Intracellular or membrane-bound
ENSG00000124334,IL9R,Q01113,Intracellular or membrane-bound
ENSG00000124370,MCEE,Q96PE7,Intracellular or membrane-bound
ENSG00000124391,IL17C,Q9P0M4,Secreted to blood
ENSG00000124467,PSG8,Q9UQ74,Locally secreted in female tissues
ENSG00000124469,CEACAM8,P31997,Intracellular or membrane-bound
ENSG00000124479,NDP,Q00604,Locally secreted to extracellular matrix
ENSG00000124490,CRISP2,P16562,Locally secreted in male tissues
ENSG00000124557,BTN1A1,Q13410,Locally secreted in female tissues
ENSG00000124731,TREM1,Q9NP99,Intracellular or membrane-bound
ENSG00000124749,COL21A1,Q96P44,Locally secreted to extracellular matrix
ENSG00000124812,CRISP1,P54107,Locally secreted in male tissues
ENSG00000124875,CXCL6,P80162,Secreted to blood
ENSG00000124882,EREG,O14944,Secreted to blood
ENSG00000124935,SCGB1D2,O95969,Locally secreted
ENSG00000124939,SCGB2A1,O75556,Locally secreted
ENSG00000125084,WNT1,P04628,Locally secreted to extracellular matrix
ENSG00000125144,MT1G,P13640,Intracellular or membrane-bound
ENSG00000125166,GOT2,P00505,Intracellular or membrane-bound
ENSG00000125363,AMELX,Q99217,Locally secreted
ENSG00000125378,BMP4,P12644,Secreted to blood
ENSG00000125551,PLGLB2,Q02325,Secreted to blood
ENSG00000125571,IL37,Q9NZH6,Secreted to blood
ENSG00000125650,PSPN,O60542,Locally secreted
ENSG00000125675,GRIA3,P42263,Intracellular or membrane-bound
ENSG00000125735,TNFSF14,O43557,Secreted to blood
ENSG00000125787,GNRH2,O43555,Secreted to blood
